place,geo_id,tot_hholds,tot_schoolage,tot_hholds_both,tot_schoolage_both,perc_hholds_both,perc_schoolage_both,tot_hholds_computer,tot_schoolage_computer,perc_hholds_computer,perc_schoolage_computer,tot_hholds_neither,tot_schoolage_neither,perc_hholds_neither,perc_schoolage_neither
Philadelphia,9700000US4218990,1534063,342681,1293739,304918,84.3,89.0,122221,25978,8.0,7.6,115712,11609,7.5,3.4
Los Angeles,9700000US0622710,4628591,985836,4086155,887872,88.3,90.1,328666,72603,7.1,7.4,207263,24318,4.5,2.5
Houston,9700000US4823640,1464430,351353,1234121,300155,84.3,85.4,119291,30410,8.1,8.7,109573,20532,7.5,5.8
New York City,9700000US3620580,8196532,1728837,7127142,1532833,87.0,88.7,552196,121208,6.7,7.0,503229,72013,6.1,4.2
Chicago,9700000US1709930,2640243,551544,2270849,496132,86.0,90.0,202630,40143,7.7,7.3,163461,14892,6.2,2.7
Pennsylvania,0400000US42,12374980,2638596,10894191,2445258,88.0,92.7,612697,109365,5.0,4.1,829866,81522,6.7,3.1
California,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5.0,1314283,153899,3.4,1.7
West Virginia,0400000US54,1760220,363807,1473207,331628,83.7,91.2,127530,22765,7.2,6.3,154456,9067,8.8,2.5
Utah,0400000US49,3103352,924643,2860605,876453,92.2,94.8,174795,41194,5.6,4.5,62898,6566,2.0,0.7
New York,0400000US36,18945673,4049795,16740202,3670236,88.4,90.6,1082827,226446,5.7,5.6,1085283,148492,5.7,3.7
District of Columbia,0400000US11,662982,125494,578441,109703,87.2,87.4,52241,12427,7.9,9.9,31802,3348,4.8,2.7
Alaska,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3.0,1.4
Florida,0400000US12,20785401,4203338,18297206,3819555,88.0,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2
South Carolina,0400000US45,4956293,1105415,4216666,991370,85.1,89.7,420152,88062,8.5,8.0,311238,25524,6.3,2.3
North Dakota,0400000US38,734984,177561,639914,163319,87.1,92.0,55307,11882,7.5,6.7,38648,2349,5.3,1.3
Maine,0400000US23,1304478,249673,1152779,234616,88.4,94.0,74017,11134,5.7,4.5,71092,3545,5.4,1.4
Georgia,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7.0,539286,64849,5.3,2.6
Alabama,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7.0,382042,36672,8.0,3.4
New Hampshire,0400000US33,1313821,257052,1209182,246575,92.0,95.9,53895,8235,4.1,3.2,47247,2001,3.6,0.8
Oregon,0400000US41,4087588,864225,3727114,816619,91.2,94.5,207412,37167,5.1,4.3,141436,9256,3.5,1.1
Wyoming,0400000US56,567055,134238,505768,125653,89.2,93.6,35302,6202,6.2,4.6,24562,2315,4.3,1.7
Arizona,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8
Louisiana,0400000US22,4535225,1095562,3783456,963099,83.4,87.9,394041,92805,8.7,8.5,349856,38562,7.7,3.5
Indiana,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6
Idaho,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1.0
Connecticut,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1
Hawaii,0400000US15,1376944,300922,1244629,280757,90.4,93.3,72306,13777,5.3,4.6,57781,6190,4.2,2.1
Illinois,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5.0,1.7
Massachusetts,0400000US25,6624698,1356444,6070355,1294562,91.6,95.4,265859,45312,4.0,3.3,279306,16045,4.2,1.2
Texas,0400000US48,28039855,7366500,24510533,6580473,87.4,89.3,2120647,560788,7.6,7.6,1371669,219950,4.9,3.0
Montana,0400000US30,1032820,226992,900576,208335,87.2,91.8,62180,11508,6.0,5.1,63960,6320,6.2,2.8
Nebraska,0400000US31,1872618,473341,1681031,447471,89.8,94.5,92479,18285,4.9,3.9,92722,6956,5.0,1.5
Ohio,0400000US39,11361029,2588493,10036284,2396860,88.3,92.6,618135,118552,5.4,4.6,680503,71488,6.0,2.8
Colorado,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3.0,1.2
