place,code,type,geo_id,tot_hholds,tot_schoolage,tot_hholds_both,tot_schoolage_both,perc_hholds_both,perc_schoolage_both,tot_hholds_computer,tot_schoolage_computer,perc_hholds_computer,perc_schoolage_computer,tot_hholds_neither,tot_schoolage_neither,perc_hholds_neither,perc_schoolage_neither,cohort,subject,year,value
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,1,mathematics,2019,229.651002236322
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,1,mathematics,2022,230.040391972661
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,2,mathematics,2019,268.703898571044
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,2,mathematics,2022,264.357254326719
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,1,reading,2019,211.728520409549
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,1,reading,2022,213.304803954478
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,2,reading,2019,253.398604872946
Alabama,AL,state,0400000US01,4776007,1090725,4008894,974385,83.9,89.3,367138,75907,7.7,7,382042,36672,8,3.4,2,reading,2022,250.895926965125
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,1,mathematics,2019,232.307478546218
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,1,mathematics,2022,225.922597958835
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,2,mathematics,2019,274.337800740009
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,2,mathematics,2022,269.920753201375
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,1,reading,2019,204.373572021553
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,1,reading,2022,203.834393388451
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,2,reading,2019,252.385089216065
Alaska,AK,state,0400000US02,709895,182838,638379,167993,89.9,91.9,48884,12244,6.9,6.7,21184,2517,3,1.4,2,reading,2022,252.553242858184
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,1,mathematics,2019,237.610210406623
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,1,mathematics,2022,231.980559496722
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,2,mathematics,2019,279.932021743214
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,2,mathematics,2022,270.703745274723
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,1,reading,2019,215.841230797164
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,1,reading,2022,215.478915088885
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,2,reading,2019,259.480352131611
Arizona,AZ,state,0400000US04,7016130,1636256,6218937,1480366,88.6,90.5,462045,108718,6.6,6.6,320415,45345,4.6,2.8,2,reading,2022,258.52899360086
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,1,mathematics,2019,233.252134193681
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,1,mathematics,2022,228.139333985482
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,2,mathematics,2019,274.36319198523
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,2,mathematics,2022,266.882790691024
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,1,reading,2019,215.054222154958
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,1,reading,2022,211.952401971433
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,2,reading,2019,258.78275377192
Arkansas,AR,state,0400000US05,2928116,700386,2371459,598362,81,85.4,319293,75222,10.9,10.7,231122,25892,7.9,3.7,2,reading,2022,255.04244394381
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,1,mathematics,2019,234.721975584843
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,1,mathematics,2022,230.359415140154
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,2,mathematics,2019,275.608909198641
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,2,mathematics,2022,269.80832014388
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,1,reading,2019,216.48126594299
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,1,reading,2022,214.38813409151
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,2,reading,2019,258.829734032213
California,CA,state,0400000US06,38521288,8935169,35169205,8326146,91.3,93.2,1984090,448756,5.2,5,1314283,153899,3.4,1.7,2,reading,2022,258.785181090586
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,1,mathematics,2019,232.494268307733
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,1,mathematics,2022,222.201410549371
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,2,mathematics,2019,275.264123861708
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,2,mathematics,2022,263.028552787497
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,1,reading,2019,208.451119256522
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,1,reading,2022,205.197399460455
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,2,reading,2019,252.855417986713
Chicago,XC,city,9700000US1709930,2640243,551544,2270849,496132,86,90,202630,40143,7.7,7.3,163461,14892,6.2,2.7,2,reading,2022,251.440803398275
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,1,mathematics,2019,241.865586480222
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,1,mathematics,2022,236.172808336636
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,2,mathematics,2019,284.665952434847
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,2,mathematics,2022,275.11103568145
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,1,reading,2019,224.862437298555
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,1,reading,2022,222.853892245728
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,2,reading,2019,267.307705573783
Colorado,CO,state,0400000US08,5565331,1256103,5132421,1191404,92.2,94.8,253263,48552,4.6,3.9,168817,15281,3,1.2,2,reading,2022,263.454560711468
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,1,mathematics,2019,243.259501751646
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,1,mathematics,2022,236.35632336505
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,2,mathematics,2019,286.15885457416
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,2,mathematics,2022,276.487510664734
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,1,reading,2019,224.34981661865
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,1,reading,2022,219.147978324754
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,2,reading,2019,269.719107358588
Connecticut,CT,state,0400000US09,3458474,733895,3151139,701604,91.1,95.6,141589,22843,4.1,3.1,157699,8231,4.6,1.1,2,reading,2022,263.807355777347
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,1,mathematics,2019,239.319659530785
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,1,mathematics,2022,225.578602208135
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,2,mathematics,2019,276.702658183838
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,2,mathematics,2022,264.24710941302
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,1,reading,2019,217.686784683225
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,1,reading,2022,208.301570070164
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,2,reading,2019,259.679402371344
Delaware,DE,state,0400000US10,942727,203585,848376,188842,90,92.8,47828,9976,5.1,4.9,44982,4685,4.8,2.3,2,reading,2022,253.007183169647
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,1,mathematics,2019,245.957606496751
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,1,mathematics,2022,240.830495893201
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,2,mathematics,2019,278.523344698988
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,2,mathematics,2022,271.204381546513
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,1,reading,2019,224.71226131
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,1,reading,2022,224.739478076644
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,2,reading,2019,263.352557734343
Florida,FL,state,0400000US12,20785401,4203338,18297206,3819555,88,90.9,1519069,287971,7.3,6.9,933994,92635,4.5,2.2,2,reading,2022,259.631409925572
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,1,mathematics,2019,237.64845420903
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,1,mathematics,2022,234.909523946632
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,2,mathematics,2019,279.494668007891
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,2,mathematics,2022,271.284517856992
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,1,reading,2019,217.982568037342
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,1,reading,2022,215.882292250826
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,2,reading,2019,262.386099206627
Georgia,GA,state,0400000US13,10253888,2500970,8951439,2259907,87.3,90.4,749367,174693,7.3,7,539286,64849,5.3,2.6,2,reading,2022,259.986245607579
Hawaii,HI,state,0400000US15,1376944,300922,1244629,280757,90.4,93.3,72306,13777,5.3,4.6,57781,6190,4.2,2.1,1,mathematics,2019,238.567337144858
Hawaii,HI,state,0400000US15,1376944,300922,1244629,280757,90.4,93.3,72306,13777,5.3,4.6,57781,6190,4.2,2.1,1,mathematics,2022,236.503680670391
Hawaii,HI,state,0400000US15,1376944,300922,1244629,280757,90.4,93.3,72306,13777,5.3,4.6,57781,6190,4.2,2.1,2,mathematics,2019,275.333259928456
