name,code,type,cohort,subject,year,value
Alabama,AL,state,1,mathematics,2019,229.651002236322
Alabama,AL,state,1,mathematics,2022,230.040391972661
Alabama,AL,state,2,mathematics,2019,268.703898571044
Alabama,AL,state,2,mathematics,2022,264.357254326719
Alabama,AL,state,1,reading,2019,211.728520409549
Alabama,AL,state,1,reading,2022,213.304803954478
Alabama,AL,state,2,reading,2019,253.398604872946
Alabama,AL,state,2,reading,2022,250.895926965125
Alaska,AK,state,1,mathematics,2019,232.307478546218
Alaska,AK,state,1,mathematics,2022,225.922597958835
Alaska,AK,state,2,mathematics,2019,274.337800740009
Alaska,AK,state,2,mathematics,2022,269.920753201375
Alaska,AK,state,1,reading,2019,204.373572021553
Alaska,AK,state,1,reading,2022,203.834393388451
Alaska,AK,state,2,reading,2019,252.385089216065
Alaska,AK,state,2,reading,2022,252.553242858184
Arizona,AZ,state,1,mathematics,2019,237.610210406623
Arizona,AZ,state,1,mathematics,2022,231.980559496722
Arizona,AZ,state,2,mathematics,2019,279.932021743214
Arizona,AZ,state,2,mathematics,2022,270.703745274723
Arizona,AZ,state,1,reading,2019,215.841230797164
Arizona,AZ,state,1,reading,2022,215.478915088885
Arizona,AZ,state,2,reading,2019,259.480352131611
Arizona,AZ,state,2,reading,2022,258.52899360086
Arkansas,AR,state,1,mathematics,2019,233.252134193681
Arkansas,AR,state,1,mathematics,2022,228.139333985482
Arkansas,AR,state,2,mathematics,2019,274.36319198523
Arkansas,AR,state,2,mathematics,2022,266.882790691024
Arkansas,AR,state,1,reading,2019,215.054222154958
Arkansas,AR,state,1,reading,2022,211.952401971433
Arkansas,AR,state,2,reading,2019,258.78275377192
Arkansas,AR,state,2,reading,2022,255.04244394381
California,CA,state,1,mathematics,2019,234.721975584843
California,CA,state,1,mathematics,2022,230.359415140154
California,CA,state,2,mathematics,2019,275.608909198641
California,CA,state,2,mathematics,2022,269.80832014388
California,CA,state,1,reading,2019,216.48126594299
California,CA,state,1,reading,2022,214.38813409151
California,CA,state,2,reading,2019,258.829734032213
California,CA,state,2,reading,2022,258.785181090586
Colorado,CO,state,1,mathematics,2019,241.865586480222
Colorado,CO,state,1,mathematics,2022,236.172808336636
Colorado,CO,state,2,mathematics,2019,284.665952434847
Colorado,CO,state,2,mathematics,2022,275.11103568145
Colorado,CO,state,1,reading,2019,224.862437298555
Colorado,CO,state,1,reading,2022,222.853892245728
Colorado,CO,state,2,reading,2019,267.307705573783
Colorado,CO,state,2,reading,2022,263.454560711468
Connecticut,CT,state,1,mathematics,2019,243.259501751646
Connecticut,CT,state,1,mathematics,2022,236.35632336505
Connecticut,CT,state,2,mathematics,2019,286.15885457416
Connecticut,CT,state,2,mathematics,2022,276.487510664734
Connecticut,CT,state,1,reading,2019,224.34981661865
Connecticut,CT,state,1,reading,2022,219.147978324754
Connecticut,CT,state,2,reading,2019,269.719107358588
Connecticut,CT,state,2,reading,2022,263.807355777347
Delaware,DE,state,1,mathematics,2019,239.319659530785
Delaware,DE,state,1,mathematics,2022,225.578602208135
Delaware,DE,state,2,mathematics,2019,276.702658183838
Delaware,DE,state,2,mathematics,2022,264.24710941302
Delaware,DE,state,1,reading,2019,217.686784683225
Delaware,DE,state,1,reading,2022,208.301570070164
Delaware,DE,state,2,reading,2019,259.679402371344
Delaware,DE,state,2,reading,2022,253.007183169647
Florida,FL,state,1,mathematics,2019,245.957606496751
Florida,FL,state,1,mathematics,2022,240.830495893201
Florida,FL,state,2,mathematics,2019,278.523344698988
Florida,FL,state,2,mathematics,2022,271.204381546513
Florida,FL,state,1,reading,2019,224.71226131
Florida,FL,state,1,reading,2022,224.739478076644
Florida,FL,state,2,reading,2019,263.352557734343
Florida,FL,state,2,reading,2022,259.631409925572
Georgia,GA,state,1,mathematics,2019,237.64845420903
Georgia,GA,state,1,mathematics,2022,234.909523946632
Georgia,GA,state,2,mathematics,2019,279.494668007891
